ID	Raff_UFBP	Apo_UFBP	median_root2tip	min_raff_root2tip	raff_brlen	raff_dist2root	min_apo_root2tip	apo_brlen	raff_apo_nomophyly
860	17	NA	0.280314674	0.620161708	0.02425964	6	NA	NA	NA
861	42	NA	0.185760798	0.537299684	0.013625016	7	NA	NA	NA
862	69	NA	0.408957791	0.943139709	0.070535943	10	NA	NA	NA
863	92	NA	0.217812	0.681210505	0.017220286	2	NA	NA	NA
865	90	90	0.38637112	0.696271605	0.041402016	8	0.718163602	0.041402016	Y
866	18	30	0.219061898	0.318325851	2.06E-06	6	0.329274673	0.016559626	N
869	63	63	0.233545817	0.613447568	0.046425986	8	0.479648793	0.046425986	Y
870	49	12	0.398092646	0.750900376	0.018092269	4	0.789554169	2.17E-06	N
871	89	89	0.329279778	0.565013848	0.02301023	9	0.677627704	0.026638679	N
873	13	58	0.32724855	0.486194618	0.000428132	8	0.666792242	0.01486948	N
874	63	76	0.19633425	0.288675084	0.005763961	4	0.365089073	0.011181008	N
876	31	41	0.208187173	0.604195941	2.49E-06	8	0.478728421	0.020806829	N
877	68	99	0.268570777	0.550271895	0.006687154	6	0.478085016	0.036254965	N
878	52	NA	0.333065348	0.559069134	0.007621541	8	NA	NA	NA
879	46	NA	0.281294453	0.475740515	0.045309285	4	NA	NA	NA
880	37	26	0.311748113	0.720728445	0.012313048	8	0.641225003	0.003054631	N
881	31	27	0.293251645	0.745191557	0.022113998	6	10.3337325	0.002354596	N
882	30	NA	0.21657126	0.431778866	0.030384745	9	NA	NA	NA
885	83	54	0.16606362	0.28252107	0.019281967	3	0.319591195	0.021427021	N
886	67	68	0.282424794	0.410339123	0.013665428	7	0.658709776	0.019311689	N
887	20	NA	0.174992421	0.337680782	0.002189283	8	NA	NA	NA
888	14	NA	0.290403463	0.460044795	2.12E-06	3	NA	NA	NA
889	43	NA	0.251044084	0.4644683	0.013079424	8	NA	NA	NA
891	52	52	0.201525677	0.38062118	0.028893398	7	0.448454421	0.028893398	Y
892	43	71	0.238804843	0.421087832	0.0155377	8	0.625848884	0.022735881	N
893	77	NA	0.32819237	0.537423327	0.006817358	7	NA	NA	NA
895	75	75	0.277427131	0.412015868	0.016122285	3	0.504431056	0.016122285	Y
896	26	79	0.244469163	0.356252591	0.002606625	10	0.426416308	0.010892767	N
897	45	83	0.251953555	0.620624482	0.032887347	7	0.652322482	0.010651463	N
898	36	NA	0.316884654	0.624610999	0.007100459	7	NA	NA	NA
899	63	NA	0.398629451	0.66263994	0.010904303	4	NA	NA	NA
900	88	77	0.216850069	0.374553244	0.006211624	3	0.345911945	0.018947072	N
901	68	68	0.320695713	0.883552738	0.081675369	7	0.889923992	0.081675369	Y
902	94	94	0.223899257	0.531627263	0.059903067	6	0.494158755	0.059903067	Y
904	22	NA	0.282748597	0.536033081	0.009063387	5	NA	NA	NA
907	28	NA	0.338669383	0.600192453	0.014264362	7	NA	NA	NA
908	66	12	0.275637203	0.522795599	0.01546557	6	0.474747579	0.009676441	N
910	28	NA	0.360049034	0.63809507	0.012450775	6	NA	NA	NA
911	74	NA	0.234301409	0.387257341	0.026296358	4	NA	NA	NA
912	33	NA	0.168555025	0.321608523	0.009018912	6	NA	NA	NA
914	28	NA	0.268786829	0.436372167	2.12E-06	7	NA	NA	NA
916	30	30	0.296118889	0.629308217	0.02081865	7	0.780169388	0.02081865	Y
917	64	31	0.224166811	0.456349575	0.005871456	5	0.514776927	0.027841064	N
918	54	71	0.333899054	0.627179459	0.009020964	6	0.617094359	0.009314921	N
919	81	70	0.682006219	1.136837165	0.132049179	4	1.045375741	0.0579298	N
920	30	74	0.356188626	0.523509974	0.008520167	6	1.339159116	0.000618392	N
922	24	NA	0.242977434	0.470463614	0.000187118	3	NA	NA	NA
924	59	NA	0.218579131	0.460464545	0.022540287	6	NA	NA	NA
925	93	93	0.333066264	0.702866158	0.063940138	7	0.642181816	0.063940138	Y
926	77	NA	0.34551198	0.56843851	0.02225424	5	NA	NA	NA
927	79	79	0.207767246	0.434584145	0.019292009	8	0.479497957	0.019292009	Y
928	72	NA	0.275818615	0.477169135	0.011850229	7	NA	NA	NA
929	63	53	0.512230529	0.719354541	0.00894225	6	0.917108534	0.020127746	N
930	41	NA	0.311307792	0.578462681	0.015201771	7	NA	NA	NA
931	54	84	0.185954872	0.738224228	0.033014711	8	0.707077867	0.070074304	N
933	74	74	0.325380283	0.6258825	0.022933231	9	0.662365636	0.033206453	N
936	54	NA	0.311084558	0.59385499	0.023859176	7	NA	NA	NA
937	32	NA	0.149598378	0.456086747	0.003486696	3	NA	NA	NA
938	49	NA	0.127385745	0.283151594	0.014441777	3	NA	NA	NA
939	93	93	0.291841003	0.725826352	0.100158862	7	0.726018472	0.100158862	Y
940	56	56	0.332249742	0.54646212	0.015633556	5	0.570108263	0.015633556	Y
941	34	NA	0.28652483	0.617885709	0.009566446	8	NA	NA	NA
942	94	94	0.356891772	0.741917551	0.065333573	11	0.771425771	0.065333573	Y
945	41	42	0.212124811	0.519468997	0.007775909	8	0.536575305	0.022386133	N
946	76	NA	0.270038194	0.539089728	0.029074442	7	NA	NA	NA
947	29	63	0.331918048	0.43046566	0.005691423	5	0.663449014	0.052069181	N
950	90	NA	0.257909077	0.944040021	0.019390518	9	NA	NA	NA
951	100	77	0.255350228	0.408974094	0.038855655	2	0.659135989	0.028506128	N
952	63	63	0.251857749	0.49198003	0.023829889	4	0.522381891	0.023829889	Y
953	10	37	0.255532283	0.548367889	0.005879206	5	0.488640266	0.018760941	N
955	26	NA	0.500554011	1.217155447	2.30E-06	8	NA	NA	NA
956	67	67	0.194623143	0.388934453	0.041342255	6	0.367381149	0.041342255	Y
958	55	NA	0.321872114	0.509723077	0.018014668	6	NA	NA	NA
960	41	74	0.210560065	0.403837546	0.013022043	6	0.438057025	0.019509724	N
962	49	74	0.537376735	0.759044837	0.025794859	3	0.893759656	0.058235637	N
963	98	29	0.302021168	0.494008847	0.051096843	3	0.64091781	0.004349314	N
965	78	NA	0.574223056	0.96278771	0.037412027	4	NA	NA	NA
968	31	NA	0.233422518	0.866669404	0.004676199	9	NA	NA	NA
969	81	81	0.525116392	0.863248325	0.078863735	10	1.186815428	0.078863735	Y
970	93	93	0.260953082	0.34693251	0.056310206	7	0.639385585	0.056310206	Y
973	91	91	0.244573084	0.458962609	0.01621319	6	0.670949673	0.01621319	Y
974	65	65	0.391812739	0.603153954	0.032253048	3	0.663130198	0.032253048	Y
977	42	34	0.288401313	0.717000637	0.004496093	7	0.954521657	0.034383479	N
978	88	88	0.282997811	0.457942034	0.063055457	5	0.526428942	0.063055457	Y
979	33	NA	0.400584903	0.742435005	0.019315873	7	NA	NA	NA
981	88	91	0.445921823	0.616244317	0.115773719	8	0.846430696	0.038647795	N
983	17	75	0.231210074	0.412036151	0.031234221	9	0.444817423	0.022340586	N
984	38	40	0.383157416	0.677823245	0.042047472	7	0.915250917	2.86E-06	N
985	79	NA	0.198493016	0.344345218	0.022425319	3	NA	NA	NA
986	70	NA	0.257960681	0.582645935	0.035038146	11	NA	NA	NA
987	71	NA	0.185206384	0.481020645	0.044484481	9	NA	NA	NA
988	42	NA	0.154289388	1.115504711	2.37E-06	4	NA	NA	NA
990	56	31	0.177179372	0.485163516	0.00465321	6	0.435033764	0.013971401	N
991	92	64	0.378938819	0.534510561	0.03450305	8	0.562766063	0.028594264	N
994	47	NA	0.361871153	0.642707212	0.031750499	3	NA	NA	NA
996	95	95	0.183774978	0.411477089	0.025030187	6	0.5458186	0.025030187	Y
997	59	40	0.347268714	0.502609992	0.036609122	8	0.688511244	0.03384175	N
999	91	91	0.25694479	0.550489654	0.03990827	8	0.50251265	0.03990827	Y
1000	67	33	0.308032757	0.567783913	0.015128046	5	0.703015943	0.015212248	N
1002	30	17	0.473955961	0.88296975	0.014049382	7	0.999367902	0.006256979	N
1003	69	73	0.326680914	0.537379517	0.049818728	9	0.741643224	0.061948322	N
1004	25	NA	0.187892142	0.523246087	2.21E-06	7	NA	NA	NA
1005	61	44	0.242101052	0.470258184	0.026343212	8	0.638112931	0.037950745	N
1009	28	28	0.260452896	0.503657701	0.019338102	8	0.595639217	0.019338102	Y
1010	27	36	0.268566701	0.535935168	0.005477799	3	0.456543934	0.011460033	N
1011	100	NA	0.241296071	0.349915806	0.028288327	2	NA	NA	NA
1013	55	88	0.412858702	0.599190778	0.010868879	8	0.661578932	0.029949476	N
1014	47	47	1.268628253	1.786695193	0.005128649	11	1.517640993	0.070550108	N
1015	59	75	0.249817428	0.519715017	0.027545231	5	0.55625161	0.027912555	N
1016	24	80	0.413441935	0.65577756	0.006944219	7	0.660936261	0.015180748	N
1017	61	59	0.287744409	0.554041573	0.014375935	6	0.921499753	0.025106771	N
1018	67	NA	0.26044906	0.625285688	0.109080044	10	NA	NA	NA
1019	13	NA	0.337094445	1.039237286	0.089279887	9	NA	NA	NA
1020	39	39	1.183617541	1.382759958	0.010011555	5	1.492098838	0.010011555	Y
1021	16	NA	0.313868137	0.676175633	0.00573479	5	NA	NA	NA
1024	60	NA	0.252296919	0.480322806	0.004483571	6	NA	NA	NA
1025	43	70	0.336075188	0.471246779	0.021950745	4	0.629986009	0.023769035	N
1027	80	80	0.326997483	0.612198533	0.031336071	7	0.76192867	0.031336071	Y
1028	73	NA	0.398598748	0.791762856	0.030873609	7	NA	NA	NA
1029	14	NA	0.311198762	0.752953019	2.07E-06	5	NA	NA	NA
1031	23	26	0.294038148	0.700240459	0.01503057	6	0.700726114	0.014746942	N
1032	72	72	0.302496293	0.601132219	0.028346283	8	0.647727441	0.028346283	Y
