ID	BP
569	4.0
45	18.0
16	6.0
36	10.0
2021	19.0
1592	8.0
2287	8.0
1242	3.0
2524	11.0
1775	48.0
13	98.0
2472	15.0
1042	26.0
1486	69.0
2492	7.0
1548	52.0
2140	6.0
3061	23.0
686	84.0
2124	10.0
391	29.0
2532	75.0
1651	42.0
734	4.0
2062	100.0
2078	8.0
2574	37.0
2755	27.0
2034	36.0
192	29.0
439	11.0
2202	13.0
1721	15.0
507	36.0
76	22.0
2464	12.0
289	14.0
1754	4.0
724	37.0
2580	96.0
1367	26.0
567	14.0
2351	29.0
1810	38.0
221	57.0
39	58.0
870	32.0
1341	6.0
844	32.0
536	53.0
621	14.0
