ID	BP
1585	50.0
2744	0.0
41	15.0
634	21.0
991	30.0
2847	36.0
1038	21.0
363	17.0
29	8.0
2723	6.0
2747	2.0
1543	40.0
1742	19.0
1068	33.0
1649	17.0
2250	26.0
497	14.0
1471	16.0
2362	48.0
307	36.0
1476	29.0
770	60.0
484	40.0
1027	21.0
2691	9.0
1402	17.0
2315	22.0
1078	45.0
1283	22.0
2378	12.0
146	52.0
1497	29.0
1477	3.0
885	6.0
1680	26.0
2887	37.0
762	31.0
308	21.0
2883	36.0
1207	56.0
1954	5.0
1991	44.0
1032	24.0
2835	40.0
2796	17.0
303	50.0
2156	50.0
2454	13.0
2790	38.0
1599	88.0
2247	n4065934
1544	39.0
263	39.0
2922	28.0
1566	6.0
2068	n3423705
2610	54.0
1226	3.0
1572	23.0
1807	31.0
1588	13.0
1417	16.0
1104	56.0
2621	15.0
1481	22.0
126	9.0
3025	8.0
861	51.0
1267	1.0
2222	31.0
802	13.0
2907	8.0
2537	31.0
807	22.0
2422	13.0
2570	8.0
2702	15.0
2737	3.0
1752	14.0
1691	14.0
1710	17.0
1932	24.0
3059	14.0
3022	32.0
697	72.0
3040	43.0
1594	27.0
1574	17.0
1749	8.0
814	n8225728
2097	14.0
2460	39.0
782	9.0
2815	30.0
2727	20.0
640	22.0
730	12.0
2826	0.0
1915	35.0
1811	24.0
693	27.0
2957	19.0
706	36.0
1314	4.0
1300	11.0
2244	7.0
1209	36.0
2441	32.0
1587	23.0
3012	1.0
732	17.0
1656	48.0
85	n8388419
2558	1.0
739	9.0
1825	36.0
407	45.0
326	24.0
486	19.0
2775	26.0
1509	55.0
584	21.0
274	60.0
2185	1.0
2450	11.0
1986	19.0
1394	22.0
1673	57.0
2002	18.0
434	21.0
1442	22.0
2235	50.0
709	32.0
639	8.0
704	5.0
2281	11.0
2023	3.0
190	15.0
908	15.0
2657	11.0
881	7.0
2223	1.0
1912	5.0
2634	9.0
1440	7.0
2905	64.0
952	41.0
257	4.0
2795	2.0
186	38.0
1936	36.0
123	5.0
2684	31.0
375	29.0
2589	43.0
602	22.0
1698	17.0
2604	13.0
1833	29.0
1747	10.0
1891	37.0
323	36.0
1219	30.0
1457	21.0
551	10.0
907	n8536579
3037	34.0
1123	13.0
2518	16.0
1040	30.0
2101	57.0
1931	16.0
1959	36.0
2642	10.0
1092	41.0
2817	46.0
405	65.0
1098	18.0
2641	0.0
1255	12.0
2871	56.0
700	17.0
355	47.0
3033	1.0
1425	46.0
2400	6.0
862	8.0
2084	1.0
2787	34.0
523	17.0
281	44.0
933	35.0
1224	24.0
2985	31.0
2616	12.0
1274	41.0
876	18.0
3065	11.0
1667	97.0
1466	28.0
2768	7.0
388	30.0
2927	23.0
1451	69.0
795	3.0
2329	13.0
1480	7.0
1685	28.0
1164	9.0
165	5.0
2733	46.0
2141	31.0
705	24.0
1271	20.0
463	5.0
3000	59.0
1433	16.0
1985	32.0
898	19.0
48	25.0
2398	28.0
852	44.0
920	16.0
1318	4.0
171	41.0
2579	42.0
2496	26.0
1916	12.0
1077	61.0
248	28.0
1979	4.0
965	70.0
721	5.0
2153	24.0
3056	71.0
3058	1.0
2935	6.0
2372	46.0
2396	28.0
59	12.0
1568	15.0
1379	0.0
66	9.0
2898	13.0
2129	22.0
2290	14.0
1064	64.0
804	30.0
519	12.0
474	57.0
2269	5.0
1708	20.0
1386	4.0
1542	39.0
297	24.0
1619	12.0
1508	1.0
2058	33.0
2143	9.0
610	54.0
1365	41.0
2184	68.0
1700	34.0
1059	1.0
2563	9.0
2413	47.0
2951	42.0
61	19.0
2920	32.0
1658	38.0
946	52.0
104	n136051
211	22.0
3055	14.0
1041	50.0
2765	39.0
217	49.0
429	12.0
2126	76.0
2154	33.0
2385	11.0
121	39.0
237	5.0
1635	62.0
1270	13.0
2571	50.0
3009	21.0
467	48.0
1461	23.0
2003	0.0
445	23.0
1779	13.0
1235	67.0
2519	41.0
1620	20.0
2229	2.0
205	96.0
2211	31.0
696	12.0
2227	2.0
599	47.0
1396	9.0
858	29.0
615	86.0
1238	43.0
2352	34.0
1843	4.0
1184	33.0
1515	66.0
3017	16.0
498	33.0
1718	15.0
2636	62.0
1310	12.0
2024	34.0
1989	42.0
2065	46.0
2236	3.0
597	26.0
2598	7.0
1150	19.0
2686	7.0
1244	23.0
592	38.0
2994	14.0
1452	7.0
1863	21.0
3014	10.0
981	75.0
2551	41.0
280	44.0
517	41.0
2540	6.0
2447	21.0
880	37.0
1478	23.0
2743	34.0
1744	17.0
1590	10.0
2595	41.0
1003	11.0
2709	25.0
2437	14.0
2798	46.0
2070	10.0
3053	18.0
1459	43.0
938	27.0
2067	25.0
2639	60.0
2662	27.0
958	n8680769
2918	88.0
1832	4.0
2377	23.0
3041	n6702620
1024	13.0
1333	3.0
1707	48.0
2811	22.0
1146	9.0
1865	43.0
729	12.0
2550	18.0
878	3.0
2376	15.0
2626	14.0
459	25.0
629	24.0
1737	37.0
646	7.0
332	7.0
2076	19.0
2940	26.0
2199	29.0
1722	10.0
411	10.0
506	19.0
2575	33.0
2914	59.0
1163	25.0
1261	12.0
1988	16.0
1276	18.0
1198	55.0
1773	1.0
1506	26.0
1324	39.0
416	4.0
414	40.0
3062	46.0
245	6.0
622	23.0
2430	40.0
643	20.0
1265	23.0
2149	21.0
893	26.0
2668	3.0
2313	4.0
2054	48.0
220	14.0
1996	19.0
2105	65.0
1456	29.0
1360	34.0
1204	13.0
178	27.0
648	10.0
1650	31.0
1583	17.0
2962	47.0
2226	33.0
1646	26.0
26	32.0
901	16.0
1644	24.0
1701	27.0
1948	9.0
1675	21.0
2082	8.0
652	15.0
1868	0.0
2866	29.0
1848	14.0
293	8.0
1089	11.0
1453	44.0
2220	8.0
2331	73.0
1080	26.0
128	n872522
1290	14.0
344	11.0
1185	11.0
1493	18.0
65	45.0
1110	1.0
856	30.0
2256	15.0
2100	20.0
1745	49.0
260	52.0
1014	25.0
